Date,Product ID,Product Type,Size,Color,Quantity Sold,Sales Channel,Marketing Channel,Revenue,Production Time,Cost per Unit,Customer Satisfaction,Product Rating,Customer Comments,Material Type,Printing Method,Discount Applied,Estimated Delivery Date,Supplier,Shipping Cost,Customer Location,Payment Method,Internal Comments,Order Number
2023-08-29,5680,Tank Top,M,Black,5,Fair,Social Media,40.0,2.51,15.51,3.08,2.69,Will buy again,Polyester,Sublimation,Yes,2023-08-30,Supplier A,10.06,City A,Credit Card,Handled with care,356321
2023-08-30,7599,Long Sleeve,S,Green,8,Fair,Social Media,24.96,1.97,11.93,2.47,1.31,Not satisfied,Blend,Embroidery,No,2023-08-31,Supplier A,14.07,City B,Credit Card,Special instructions,867134
2023-08-31,4085,Hoodie,M,Red,3,Social Media,Email,42.31,1.22,5.5,1.18,3.57,Fast delivery,Blend,Sublimation,No,2023-09-01,Supplier C,6.3,City A,Credit Card,Urgent,189704
2023-09-01,6713,Long Sleeve,XL,Red,9,Online,Organic Search,40.14,2.6,6.22,2.26,1.79,Will buy again,Polyester,Sublimation,No,2023-09-02,Supplier A,7.69,City A,Credit Card,Urgent,805186
2023-09-02,6240,Long Sleeve,XL,Green,3,Online,Social Media,43.97,2.41,18.94,2.4,3.38,Will buy again,Blend,Screen Printing,No,2023-09-03,Supplier C,4.5,City C,PayPal,Urgent,928177
2023-09-03,1732,Short Sleeve,S,Red,2,Online,Social Media,48.45,3.94,16.17,2.97,1.04,Good quality,Blend,Screen Printing,No,2023-09-04,Supplier A,6.54,City B,Credit Card,Handled with care,462600
2023-09-04,6028,Short Sleeve,L,Green,9,Online,Organic Search,84.41,1.25,13.19,3.83,1.58,Not satisfied,Polyester,Screen Printing,Yes,2023-09-05,Supplier A,10.08,City A,Bank Transfer,Special instructions,851232
2023-09-05,9473,Hoodie,S,White,8,Online,Organic Search,24.78,2.52,8.14,5.0,2.3,Will buy again,Blend,Screen Printing,Yes,2023-09-06,Supplier C,11.96,City B,Bank Transfer,Urgent,129653
2023-09-06,8594,Tank Top,S,Red,2,Online,Organic Search,48.36,2.37,5.1,3.07,1.35,Fast delivery,Cotton,Sublimation,No,2023-09-07,Supplier B,5.09,City B,Bank Transfer,Urgent,677949
2023-09-07,5566,Short Sleeve,S,White,4,Online,Social Media,28.3,3.59,16.59,4.77,4.93,Will buy again,Cotton,Embroidery,Yes,2023-09-08,Supplier B,3.84,City C,Bank Transfer,Urgent,552786
2023-09-08,8444,Long Sleeve,S,Red,6,Fair,Organic Search,98.58,4.55,9.68,3.11,1.93,Will buy again,Cotton,Embroidery,Yes,2023-09-09,Supplier B,8.97,City C,Bank Transfer,Special instructions,161952
2023-09-09,4396,Tank Top,XL,Black,9,Online,Organic Search,31.52,1.57,8.21,3.37,4.59,Not satisfied,Blend,Screen Printing,No,2023-09-10,Supplier A,8.48,City A,PayPal,Special instructions,739133
2023-09-10,6347,Short Sleeve,L,Green,2,Online,Email,58.32,4.27,7.58,1.56,3.75,Will buy again,Blend,Sublimation,Yes,2023-09-11,Supplier C,8.59,City B,Credit Card,Handled with care,201219
2023-09-11,8034,Long Sleeve,M,Black,4,Online,Organic Search,58.4,3.44,17.13,3.28,4.83,Fast delivery,Cotton,Sublimation,Yes,2023-09-12,Supplier C,7.53,City B,Bank Transfer,Urgent,887584
2023-09-12,1595,Short Sleeve,L,White,2,Social Media,Social Media,82.49,1.12,14.31,2.04,4.64,Fast delivery,Polyester,Screen Printing,No,2023-09-13,Supplier B,3.6,City A,PayPal,Special instructions,291101
2023-09-13,1647,Short Sleeve,L,Green,3,Online,Social Media,41.77,4.07,14.62,2.1,4.51,Fast delivery,Cotton,Sublimation,No,2023-09-14,Supplier C,11.13,City C,PayPal,Handled with care,630534
2023-09-14,1573,Short Sleeve,S,Green,8,Fair,Email,79.02,3.15,18.88,2.74,3.31,Fast delivery,Cotton,Sublimation,Yes,2023-09-15,Supplier B,4.74,City A,Bank Transfer,Handled with care,628846
2023-09-15,7797,Long Sleeve,L,White,6,Online,Social Media,22.11,4.2,18.38,3.61,4.86,Good quality,Polyester,Embroidery,No,2023-09-16,Supplier B,6.93,City A,Bank Transfer,Urgent,632728
2023-09-16,6637,Long Sleeve,S,Green,9,Fair,Social Media,94.17,2.64,15.21,3.47,1.72,Not satisfied,Blend,Embroidery,No,2023-09-17,Supplier B,13.11,City C,Credit Card,Special instructions,104579
2023-09-17,9448,Short Sleeve,M,Green,6,Social Media,Email,27.92,3.66,19.42,2.23,2.82,Good quality,Cotton,Embroidery,Yes,2023-09-18,Supplier B,14.18,City A,Credit Card,Special instructions,946612
2023-09-18,6259,Long Sleeve,S,Red,4,Social Media,Organic Search,58.47,1.8,8.43,1.12,4.12,Good quality,Cotton,Embroidery,No,2023-09-19,Supplier A,4.4,City B,PayPal,Handled with care,291920
2023-09-19,7567,Short Sleeve,M,Blue,3,Fair,Organic Search,33.87,1.77,5.29,1.98,2.93,Good quality,Cotton,Screen Printing,Yes,2023-09-20,Supplier C,5.92,City B,Credit Card,Special instructions,984604
2023-09-20,5444,Hoodie,L,Black,6,Fair,Social Media,49.49,2.36,18.83,2.81,4.98,Will buy again,Cotton,Screen Printing,No,2023-09-21,Supplier C,13.66,City C,PayPal,Handled with care,291886
2023-09-21,3989,Tank Top,S,Blue,5,Social Media,Email,71.36,3.08,8.96,4.64,3.93,Good quality,Polyester,Sublimation,Yes,2023-09-22,Supplier A,6.48,City C,Bank Transfer,Special instructions,233351
2023-09-22,1586,Long Sleeve,XL,Green,9,Fair,Organic Search,31.4,3.87,19.6,3.44,1.83,Not satisfied,Cotton,Screen Printing,No,2023-09-23,Supplier B,3.86,City A,Credit Card,Handled with care,633204
2023-09-23,6102,Short Sleeve,M,Blue,2,Online,Social Media,43.13,3.67,8.36,4.51,4.25,Will buy again,Cotton,Embroidery,No,2023-09-24,Supplier B,13.6,City C,PayPal,Handled with care,675767
2023-09-24,8601,Short Sleeve,L,Red,1,Social Media,Organic Search,74.33,4.29,9.18,3.38,4.55,Will buy again,Polyester,Sublimation,Yes,2023-09-25,Supplier B,7.72,City C,Bank Transfer,Handled with care,121708
2023-09-25,1739,Hoodie,M,White,9,Social Media,Social Media,87.56,2.71,18.64,2.77,3.16,Good quality,Polyester,Screen Printing,Yes,2023-09-26,Supplier A,3.77,City A,Bank Transfer,Urgent,487243
2023-09-26,5882,Short Sleeve,S,White,9,Fair,Organic Search,67.43,4.65,17.19,2.31,4.96,Not satisfied,Polyester,Embroidery,Yes,2023-09-27,Supplier B,5.02,City B,Bank Transfer,Urgent,495881
2023-09-27,6410,Tank Top,XL,Blue,5,Online,Organic Search,61.84,1.44,6.46,4.88,3.14,Not satisfied,Polyester,Sublimation,No,2023-09-28,Supplier C,12.26,City A,PayPal,Urgent,229717
2023-09-28,1437,Long Sleeve,M,Red,1,Online,Social Media,28.77,1.75,13.63,2.91,4.09,Not satisfied,Blend,Sublimation,Yes,2023-09-29,Supplier A,9.2,City C,Credit Card,Urgent,414525
2023-09-29,4898,Hoodie,M,White,5,Social Media,Organic Search,31.72,3.73,7.37,2.44,2.3,Not satisfied,Blend,Screen Printing,No,2023-09-30,Supplier B,11.29,City C,PayPal,Special instructions,866210
2023-09-30,2847,Short Sleeve,M,Blue,3,Fair,Social Media,96.66,2.02,6.08,4.63,1.96,Not satisfied,Blend,Sublimation,No,2023-10-01,Supplier A,10.56,City C,Credit Card,Handled with care,745809
2023-10-01,2020,Short Sleeve,L,Blue,8,Online,Email,20.21,1.66,14.19,4.25,4.14,Fast delivery,Cotton,Embroidery,No,2023-10-02,Supplier A,10.46,City B,PayPal,Urgent,141286
2023-10-02,7930,Short Sleeve,XL,Black,5,Online,Organic Search,58.75,4.55,6.17,3.35,1.77,Good quality,Polyester,Embroidery,No,2023-10-03,Supplier A,5.58,City A,Bank Transfer,Urgent,866008
2023-10-03,1941,Hoodie,XL,Red,5,Fair,Email,80.51,1.27,12.08,3.26,2.14,Fast delivery,Cotton,Embroidery,Yes,2023-10-04,Supplier B,9.67,City C,Bank Transfer,Special instructions,688849
2023-10-04,9641,Long Sleeve,XL,Black,6,Fair,Social Media,36.8,4.97,14.22,2.99,2.47,Will buy again,Polyester,Embroidery,No,2023-10-05,Supplier C,6.59,City B,Bank Transfer,Special instructions,839327
2023-10-05,6610,Tank Top,M,Blue,7,Social Media,Organic Search,56.77,4.45,19.09,1.39,3.5,Will buy again,Blend,Embroidery,Yes,2023-10-06,Supplier B,4.01,City C,Credit Card,Special instructions,454790
2023-10-06,3107,Tank Top,M,Black,4,Online,Organic Search,59.44,4.47,18.82,3.75,2.37,Will buy again,Blend,Screen Printing,Yes,2023-10-07,Supplier C,9.51,City B,Credit Card,Urgent,379853
2023-10-07,5259,Short Sleeve,M,Black,8,Social Media,Organic Search,40.83,3.51,14.11,2.5,2.28,Good quality,Polyester,Sublimation,No,2023-10-08,Supplier A,5.57,City B,PayPal,Special instructions,440787
2023-10-08,1945,Short Sleeve,M,Blue,1,Social Media,Email,90.3,1.9,12.54,1.07,2.77,Not satisfied,Polyester,Embroidery,Yes,2023-10-09,Supplier A,14.85,City B,Bank Transfer,Urgent,915220
2023-10-09,9393,Long Sleeve,S,White,5,Fair,Organic Search,94.01,4.19,14.76,3.9,2.8,Good quality,Polyester,Embroidery,No,2023-10-10,Supplier B,14.17,City B,Bank Transfer,Handled with care,546494
2023-10-10,8468,Short Sleeve,S,Green,5,Online,Organic Search,79.95,1.22,18.87,1.52,1.08,Fast delivery,Cotton,Sublimation,No,2023-10-11,Supplier C,4.82,City C,Bank Transfer,Urgent,328659
2023-10-11,2805,Tank Top,L,White,6,Fair,Social Media,20.69,3.33,19.86,4.19,2.27,Fast delivery,Blend,Screen Printing,No,2023-10-12,Supplier A,6.97,City A,Bank Transfer,Special instructions,478233
2023-10-12,2862,Long Sleeve,M,Red,9,Fair,Organic Search,70.31,2.76,5.5,2.04,2.88,Fast delivery,Polyester,Screen Printing,Yes,2023-10-13,Supplier B,3.55,City A,PayPal,Handled with care,425798
2023-10-13,9742,Hoodie,L,White,6,Social Media,Organic Search,38.57,4.0,19.54,3.35,1.94,Good quality,Polyester,Sublimation,Yes,2023-10-14,Supplier C,8.66,City A,Bank Transfer,Special instructions,470948
2023-10-14,4751,Hoodie,XL,Blue,7,Online,Email,41.37,1.1,17.05,3.28,2.91,Will buy again,Cotton,Embroidery,No,2023-10-15,Supplier A,3.99,City B,Credit Card,Handled with care,426433
2023-10-15,3040,Long Sleeve,M,Black,2,Fair,Email,34.7,2.55,6.13,1.71,3.28,Fast delivery,Cotton,Sublimation,Yes,2023-10-16,Supplier B,14.56,City C,Credit Card,Urgent,147740
2023-10-16,1903,Short Sleeve,S,Red,5,Social Media,Organic Search,65.79,2.91,17.0,2.76,4.36,Fast delivery,Blend,Sublimation,Yes,2023-10-17,Supplier A,10.26,City B,Credit Card,Handled with care,473119
2023-10-17,9696,Tank Top,M,Red,6,Online,Email,55.74,1.61,14.94,4.28,4.1,Will buy again,Blend,Embroidery,Yes,2023-10-18,Supplier A,6.88,City B,Credit Card,Urgent,569020
2023-10-18,9015,Long Sleeve,XL,Red,4,Fair,Organic Search,35.49,2.66,18.59,4.89,2.03,Fast delivery,Cotton,Sublimation,Yes,2023-10-19,Supplier A,7.49,City A,Bank Transfer,Urgent,636536
2023-10-19,6896,Long Sleeve,L,Black,7,Online,Organic Search,94.61,4.64,11.87,1.07,1.51,Will buy again,Cotton,Screen Printing,Yes,2023-10-20,Supplier C,12.0,City C,Bank Transfer,Urgent,824009
2023-10-20,8942,Short Sleeve,M,White,9,Social Media,Organic Search,39.14,2.87,12.55,1.59,1.01,Good quality,Polyester,Sublimation,Yes,2023-10-21,Supplier A,10.94,City C,Credit Card,Handled with care,113879
2023-10-21,8377,Tank Top,S,Black,8,Social Media,Organic Search,82.3,2.01,17.56,3.47,2.59,Will buy again,Cotton,Sublimation,No,2023-10-22,Supplier A,6.83,City C,Credit Card,Handled with care,184976
2023-10-22,6593,Tank Top,XL,Green,5,Fair,Organic Search,21.98,3.13,12.26,1.01,4.42,Not satisfied,Polyester,Sublimation,No,2023-10-23,Supplier C,13.65,City A,Credit Card,Handled with care,830563
2023-10-23,4128,Hoodie,XL,Red,8,Social Media,Email,34.68,1.24,12.9,4.03,1.65,Not satisfied,Cotton,Sublimation,Yes,2023-10-24,Supplier B,13.07,City B,PayPal,Handled with care,441649
2023-10-24,8026,Hoodie,L,Blue,9,Social Media,Social Media,85.51,2.18,8.67,3.33,2.15,Will buy again,Cotton,Screen Printing,No,2023-10-25,Supplier B,3.93,City B,Credit Card,Urgent,795981
2023-10-25,4821,Long Sleeve,M,Black,2,Social Media,Organic Search,62.91,4.13,9.96,3.69,3.17,Will buy again,Cotton,Sublimation,No,2023-10-26,Supplier B,3.56,City C,Credit Card,Urgent,220581
2023-10-26,3711,Tank Top,S,Red,5,Online,Organic Search,71.69,3.57,9.31,3.5,3.38,Will buy again,Cotton,Screen Printing,No,2023-10-27,Supplier B,12.85,City A,PayPal,Handled with care,276586
2023-10-27,9472,Short Sleeve,M,Black,6,Fair,Organic Search,54.31,1.1,5.68,3.4,3.19,Will buy again,Blend,Sublimation,No,2023-10-28,Supplier A,7.39,City C,PayPal,Special instructions,158368
2023-10-28,2028,Short Sleeve,S,Black,6,Fair,Organic Search,54.85,3.28,13.75,1.41,1.01,Fast delivery,Blend,Sublimation,No,2023-10-29,Supplier C,3.16,City C,Bank Transfer,Urgent,501953
2023-10-29,3660,Long Sleeve,L,White,4,Social Media,Email,30.03,1.87,17.64,1.94,4.08,Not satisfied,Blend,Sublimation,No,2023-10-30,Supplier B,4.15,City C,Bank Transfer,Urgent,911346
2023-10-30,3353,Long Sleeve,XL,Black,9,Social Media,Organic Search,33.68,4.9,16.55,2.86,4.6,Will buy again,Cotton,Sublimation,No,2023-10-31,Supplier C,13.04,City C,PayPal,Handled with care,358882
2023-10-31,6662,Tank Top,L,Blue,4,Online,Social Media,93.52,4.13,8.7,2.34,2.01,Good quality,Blend,Embroidery,No,2023-11-01,Supplier C,12.77,City C,PayPal,Handled with care,388771
2023-11-01,8734,Short Sleeve,XL,Green,6,Fair,Social Media,56.61,1.51,13.79,4.13,1.53,Not satisfied,Cotton,Embroidery,Yes,2023-11-02,Supplier A,11.83,City C,Credit Card,Special instructions,331935
2023-11-02,9345,Hoodie,M,Green,4,Online,Organic Search,57.8,2.54,12.36,3.7,4.07,Will buy again,Blend,Embroidery,No,2023-11-03,Supplier A,7.41,City A,PayPal,Special instructions,848691
2023-11-03,8521,Hoodie,XL,Black,5,Fair,Organic Search,73.31,2.96,17.25,2.25,3.92,Will buy again,Blend,Sublimation,Yes,2023-11-04,Supplier C,6.05,City A,Bank Transfer,Handled with care,693778
2023-11-04,2053,Hoodie,S,Black,7,Fair,Organic Search,21.13,1.73,10.3,4.8,4.17,Not satisfied,Blend,Embroidery,No,2023-11-05,Supplier A,13.49,City C,PayPal,Handled with care,670730
2023-11-05,3977,Tank Top,L,Black,2,Online,Social Media,62.62,3.82,5.55,3.58,4.68,Will buy again,Polyester,Sublimation,No,2023-11-06,Supplier A,5.0,City B,Credit Card,Handled with care,233650
2023-11-06,6491,Tank Top,XL,Green,8,Online,Email,90.83,4.37,18.31,4.39,1.18,Will buy again,Cotton,Embroidery,No,2023-11-07,Supplier C,8.12,City A,Bank Transfer,Handled with care,973128
2023-11-07,4893,Long Sleeve,XL,Black,7,Social Media,Email,53.38,1.02,15.05,4.62,3.15,Fast delivery,Cotton,Screen Printing,No,2023-11-08,Supplier B,13.52,City C,PayPal,Urgent,401275
2023-11-08,3679,Short Sleeve,M,White,6,Fair,Email,53.01,1.53,7.73,1.79,4.16,Not satisfied,Blend,Screen Printing,No,2023-11-09,Supplier A,8.61,City B,Bank Transfer,Handled with care,346714
2023-11-09,5950,Hoodie,M,Black,3,Social Media,Social Media,56.26,2.13,8.09,2.59,3.0,Good quality,Polyester,Sublimation,No,2023-11-10,Supplier B,7.28,City C,PayPal,Handled with care,712089
2023-11-10,3665,Short Sleeve,M,Blue,4,Fair,Social Media,88.41,4.94,10.97,1.24,3.21,Not satisfied,Cotton,Screen Printing,No,2023-11-11,Supplier A,9.13,City B,Bank Transfer,Handled with care,246700
2023-11-11,4057,Tank Top,S,Blue,6,Social Media,Email,68.8,2.62,12.15,1.59,3.27,Will buy again,Cotton,Screen Printing,Yes,2023-11-12,Supplier A,12.82,City B,Credit Card,Urgent,595249
2023-11-12,7838,Short Sleeve,M,Green,9,Social Media,Organic Search,79.79,1.68,9.95,3.35,1.04,Fast delivery,Blend,Screen Printing,Yes,2023-11-13,Supplier B,8.75,City B,PayPal,Special instructions,979637
2023-11-13,4968,Hoodie,XL,Blue,4,Fair,Organic Search,77.45,1.48,12.74,3.07,4.62,Good quality,Blend,Embroidery,Yes,2023-11-14,Supplier B,9.9,City A,Bank Transfer,Urgent,437374
2023-11-14,1851,Short Sleeve,S,Green,2,Social Media,Email,24.07,4.61,18.39,2.75,1.84,Fast delivery,Polyester,Screen Printing,Yes,2023-11-15,Supplier B,7.71,City B,Bank Transfer,Urgent,310038
2023-11-15,6028,Hoodie,M,Blue,7,Online,Email,98.14,4.24,14.45,3.87,1.1,Good quality,Polyester,Sublimation,Yes,2023-11-16,Supplier B,9.44,City C,Bank Transfer,Urgent,524550
2023-11-16,4793,Tank Top,XL,Green,8,Online,Social Media,76.5,3.48,10.54,2.06,3.53,Fast delivery,Cotton,Screen Printing,Yes,2023-11-17,Supplier B,12.68,City B,Bank Transfer,Urgent,534153
2023-11-17,8316,Long Sleeve,S,Red,9,Social Media,Social Media,66.41,3.16,17.91,2.66,3.24,Fast delivery,Blend,Screen Printing,Yes,2023-11-18,Supplier A,9.57,City C,Credit Card,Special instructions,138922
2023-11-18,9053,Hoodie,XL,Blue,2,Fair,Social Media,23.61,4.11,15.44,4.75,1.51,Not satisfied,Polyester,Sublimation,Yes,2023-11-19,Supplier B,8.96,City A,Bank Transfer,Urgent,660227
2023-11-19,8152,Long Sleeve,M,Black,8,Fair,Email,93.45,2.27,13.91,3.27,4.99,Good quality,Blend,Sublimation,Yes,2023-11-20,Supplier C,8.65,City A,PayPal,Handled with care,397529
2023-11-20,4331,Hoodie,M,Green,4,Fair,Email,57.56,3.56,12.75,3.73,2.57,Not satisfied,Polyester,Embroidery,No,2023-11-21,Supplier A,12.32,City B,Bank Transfer,Urgent,988233
2023-11-21,9318,Long Sleeve,S,Green,8,Social Media,Organic Search,92.9,3.95,6.32,3.98,2.06,Will buy again,Blend,Embroidery,Yes,2023-11-22,Supplier A,5.74,City C,Bank Transfer,Urgent,174940
2023-11-22,6930,Tank Top,L,White,5,Online,Social Media,53.47,3.3,13.89,2.79,1.4,Good quality,Blend,Screen Printing,No,2023-11-23,Supplier B,8.1,City C,PayPal,Handled with care,696884
2023-11-23,9769,Short Sleeve,XL,Red,2,Social Media,Organic Search,66.18,1.67,10.97,2.72,3.14,Fast delivery,Cotton,Embroidery,Yes,2023-11-24,Supplier C,6.69,City A,Bank Transfer,Urgent,332021
2023-11-24,6652,Hoodie,XL,Red,2,Online,Organic Search,91.5,4.94,13.25,2.88,1.66,Good quality,Blend,Embroidery,Yes,2023-11-25,Supplier C,4.42,City C,Bank Transfer,Urgent,854504
2023-11-25,1804,Hoodie,L,Black,9,Social Media,Organic Search,56.87,4.24,6.86,4.45,1.58,Not satisfied,Polyester,Embroidery,No,2023-11-26,Supplier B,10.44,City A,Bank Transfer,Special instructions,393810
2023-11-26,6444,Hoodie,L,Green,3,Social Media,Social Media,34.36,2.96,16.79,2.45,3.91,Good quality,Polyester,Sublimation,Yes,2023-11-27,Supplier B,10.95,City C,PayPal,Urgent,326553
2023-11-27,4024,Tank Top,XL,Red,1,Fair,Email,54.01,3.48,12.68,4.54,1.27,Good quality,Polyester,Screen Printing,No,2023-11-28,Supplier B,4.17,City A,PayPal,Urgent,233521
2023-11-28,1112,Hoodie,S,Red,9,Online,Social Media,50.53,4.04,17.46,1.16,3.85,Not satisfied,Blend,Screen Printing,Yes,2023-11-29,Supplier C,14.1,City A,PayPal,Urgent,828325
2023-11-29,2967,Tank Top,L,White,6,Social Media,Social Media,78.47,2.83,8.1,2.01,1.28,Fast delivery,Cotton,Embroidery,No,2023-11-30,Supplier B,10.1,City A,PayPal,Special instructions,824132
2023-11-30,1650,Long Sleeve,M,Black,6,Online,Social Media,87.26,3.96,19.07,4.59,2.58,Fast delivery,Cotton,Sublimation,Yes,2023-12-01,Supplier A,6.37,City A,PayPal,Special instructions,524145
2023-12-01,5333,Short Sleeve,S,Black,4,Social Media,Organic Search,20.91,4.09,13.67,4.73,1.5,Not satisfied,Cotton,Sublimation,No,2023-12-02,Supplier C,3.25,City B,PayPal,Urgent,788613
2023-12-02,2384,Long Sleeve,L,Red,1,Online,Organic Search,59.59,2.84,6.14,1.83,4.94,Will buy again,Polyester,Sublimation,Yes,2023-12-03,Supplier B,9.49,City C,Credit Card,Handled with care,279735
2023-12-03,1063,Short Sleeve,M,Blue,2,Social Media,Organic Search,41.38,1.75,9.71,1.87,1.94,Not satisfied,Cotton,Sublimation,No,2023-12-04,Supplier C,6.99,City A,Credit Card,Handled with care,943191
2023-12-04,4999,Short Sleeve,M,White,8,Online,Email,33.15,3.39,19.74,4.02,2.46,Fast delivery,Blend,Screen Printing,Yes,2023-12-05,Supplier B,14.75,City B,PayPal,Handled with care,878902
2023-12-05,4988,Long Sleeve,XL,Blue,5,Fair,Email,73.26,3.22,14.2,2.45,1.85,Will buy again,Blend,Embroidery,No,2023-12-06,Supplier C,14.6,City C,Credit Card,Special instructions,155645
2023-12-06,3502,Hoodie,S,White,5,Online,Email,86.84,3.0,11.3,1.82,3.18,Fast delivery,Cotton,Sublimation,Yes,2023-12-07,Supplier C,8.77,City C,Bank Transfer,Urgent,578481
2023-12-07,4516,Hoodie,L,Blue,5,Social Media,Email,63.55,1.23,18.74,1.91,4.69,Will buy again,Polyester,Screen Printing,No,2023-12-08,Supplier A,11.22,City A,Bank Transfer,Urgent,583079
2023-12-08,3671,Long Sleeve,M,Black,5,Online,Social Media,35.5,4.11,10.42,2.22,2.93,Good quality,Cotton,Embroidery,Yes,2023-12-09,Supplier C,9.96,City B,Bank Transfer,Urgent,641313
2023-12-09,3387,Tank Top,XL,Green,6,Social Media,Organic Search,80.1,3.15,16.21,4.33,3.97,Fast delivery,Blend,Sublimation,Yes,2023-12-10,Supplier C,4.23,City C,Bank Transfer,Urgent,771279
2023-12-10,6394,Short Sleeve,L,Black,7,Fair,Organic Search,61.71,2.72,7.19,2.83,2.42,Will buy again,Blend,Embroidery,No,2023-12-11,Supplier C,6.29,City C,Credit Card,Urgent,258294
2023-12-11,4441,Short Sleeve,M,Red,9,Fair,Social Media,84.37,4.26,15.46,1.51,2.13,Fast delivery,Blend,Embroidery,No,2023-12-12,Supplier A,5.1,City C,Credit Card,Special instructions,620841
2023-12-12,9010,Short Sleeve,XL,Blue,5,Social Media,Social Media,97.18,1.79,12.37,2.49,1.39,Not satisfied,Cotton,Embroidery,No,2023-12-13,Supplier C,6.87,City A,Bank Transfer,Handled with care,104435
2023-12-13,2963,Short Sleeve,M,Red,5,Online,Organic Search,53.55,2.09,11.37,2.29,4.88,Will buy again,Cotton,Screen Printing,No,2023-12-14,Supplier C,6.23,City A,Bank Transfer,Urgent,994271
2023-12-14,6763,Short Sleeve,XL,Black,8,Social Media,Organic Search,45.52,3.56,8.47,1.3,2.51,Good quality,Blend,Embroidery,Yes,2023-12-15,Supplier B,5.87,City B,Credit Card,Special instructions,967052
2023-12-15,3956,Hoodie,XL,Blue,8,Online,Email,42.57,2.56,19.81,4.29,4.49,Fast delivery,Cotton,Screen Printing,Yes,2023-12-16,Supplier C,12.06,City A,PayPal,Urgent,271929
2023-12-16,8396,Tank Top,S,White,5,Online,Email,75.28,2.21,6.85,3.93,3.48,Good quality,Cotton,Sublimation,No,2023-12-17,Supplier C,13.19,City A,PayPal,Urgent,520659
2023-12-17,4898,Short Sleeve,L,Green,6,Fair,Social Media,97.75,2.02,8.05,2.74,3.71,Good quality,Cotton,Sublimation,No,2023-12-18,Supplier B,8.49,City B,Credit Card,Handled with care,953461
2023-12-18,4969,Tank Top,XL,Black,8,Social Media,Organic Search,42.87,2.94,10.66,3.81,2.83,Good quality,Polyester,Sublimation,No,2023-12-19,Supplier C,12.32,City B,PayPal,Urgent,832442
2023-12-19,8296,Long Sleeve,M,Black,5,Online,Organic Search,56.98,4.1,6.97,2.35,2.31,Not satisfied,Polyester,Embroidery,Yes,2023-12-20,Supplier C,4.25,City C,Bank Transfer,Urgent,865311
2023-12-20,5903,Tank Top,L,Green,6,Online,Email,66.11,4.22,19.03,4.74,2.89,Good quality,Cotton,Embroidery,No,2023-12-21,Supplier C,12.68,City C,Credit Card,Urgent,484651
2023-12-21,9890,Hoodie,L,Black,2,Online,Email,96.31,4.16,18.66,3.0,4.07,Not satisfied,Blend,Sublimation,Yes,2023-12-22,Supplier B,10.43,City B,Credit Card,Urgent,607369
2023-12-22,1292,Tank Top,L,Blue,5,Social Media,Organic Search,39.77,4.54,11.57,1.44,4.65,Will buy again,Cotton,Screen Printing,No,2023-12-23,Supplier C,11.52,City B,Bank Transfer,Handled with care,268974
2023-12-23,5099,Tank Top,S,Blue,1,Social Media,Social Media,96.93,1.2,12.39,2.9,2.98,Fast delivery,Polyester,Screen Printing,Yes,2023-12-24,Supplier B,5.13,City C,Credit Card,Urgent,920253
2023-12-24,6346,Long Sleeve,XL,Black,2,Online,Email,61.92,4.93,5.93,2.44,3.12,Good quality,Polyester,Screen Printing,No,2023-12-25,Supplier A,13.88,City A,Bank Transfer,Urgent,556242
2023-12-25,8033,Short Sleeve,XL,Blue,4,Online,Organic Search,78.27,2.71,17.59,1.14,3.93,Will buy again,Cotton,Embroidery,No,2023-12-26,Supplier A,7.85,City C,Credit Card,Special instructions,220441
2023-12-26,5776,Tank Top,XL,Black,3,Online,Social Media,82.51,1.77,16.71,2.4,4.84,Will buy again,Polyester,Sublimation,No,2023-12-27,Supplier A,4.65,City A,Bank Transfer,Urgent,300950
2023-12-27,8452,Hoodie,XL,Black,1,Fair,Organic Search,33.17,4.88,10.9,4.91,3.63,Good quality,Cotton,Embroidery,Yes,2023-12-28,Supplier C,12.18,City A,PayPal,Urgent,826060
2023-12-28,7980,Long Sleeve,M,White,8,Fair,Organic Search,97.98,4.3,12.16,2.04,4.4,Will buy again,Polyester,Screen Printing,No,2023-12-29,Supplier C,12.45,City C,Credit Card,Special instructions,426778
2023-12-29,5122,Tank Top,XL,Green,3,Online,Organic Search,98.09,4.72,14.89,3.9,2.62,Will buy again,Polyester,Screen Printing,Yes,2023-12-30,Supplier A,9.0,City C,PayPal,Special instructions,650994
2023-12-30,1736,Tank Top,L,Blue,1,Online,Social Media,89.29,3.09,11.98,1.62,1.72,Will buy again,Cotton,Sublimation,No,2023-12-31,Supplier C,6.29,City A,Bank Transfer,Special instructions,414846
2023-12-31,5461,Long Sleeve,XL,Green,2,Fair,Social Media,87.47,3.99,9.1,1.68,3.82,Not satisfied,Blend,Sublimation,Yes,2024-01-01,Supplier A,4.05,City B,PayPal,Handled with care,377735
2024-01-01,2971,Hoodie,XL,White,9,Online,Organic Search,46.1,3.08,9.46,2.19,1.98,Not satisfied,Polyester,Screen Printing,Yes,2024-01-02,Supplier B,7.04,City C,PayPal,Special instructions,144513
2024-01-02,9389,Hoodie,XL,Red,2,Social Media,Organic Search,88.17,3.16,12.76,1.06,4.54,Fast delivery,Cotton,Screen Printing,No,2024-01-03,Supplier A,10.14,City C,PayPal,Urgent,573108
